card_title,card_reviews,card_link,card_image,card_status,card_limit,card_score,card_annual_income,card_applied_from,card_bureau,card_age,card_notes,card_author_name,card_meta_date,card_dislike,card_like
Blue Business Cash,995,https://helpmebuildcredit.com/creditcard/amex-blue-business-cash/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/Capture-2.png,decline,N/A,679,N/A,Texas,Experian,5-10 years,"No prior history with AMEX. Asked for bank statements, still denied.",User_1zfhqs23,"Jun 08, 2023",0,5
AAdvantage Platinum Business,1000,https://helpmebuildcredit.com/creditcard/citi-american-airlines-platinum-business/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/citi-aa-1.png,publish,"$16,000",805,N/A,New Jersey,Equifax,2-5 years,Froze experian. Approved instantly,User_b0sv658i,"Jun 08, 2023",1,3
Amex Hilton Surpass,1123,https://helpmebuildcredit.com/creditcard/amex-hilton-surpass-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/hilton-card-300x191-1.png,publish,"$8,000",745,N/A,New York,Experian,2-5 years,Used Used second link that was provided the first link had the amex popup,User_35h2taij,"Jun 07, 2023",0,2
Citi Rewards Card,1185,https://helpmebuildcredit.com/creditcard/citi-rewards-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/citi-rewards-2.png,decline,N/A,735,N/A,New York,Equifax,6-12 months,NaN,User_i0mchryo,"Jun 07, 2023",2,3
Amex Gold,1305,https://helpmebuildcredit.com/creditcard/amex-gold-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-gold-card-1.png,publish,"$7,000",740,N/A,New York,N/A,1-2 years,NaN,User_i0mchryo,"Jun 07, 2023",0,5
Citi Custom Cash,1244,https://helpmebuildcredit.com/creditcard/citi-customsm-cash-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/06/citi-custom-cash.png,publish,"$10,000",774,N/A,California,Experian,N/A,NaN,User_m4k5hx0n,"Jun 07, 2023",0,4
SavorOne Cash Rewards,1163,https://helpmebuildcredit.com/creditcard/capital-one-savorone-rewards-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/06/savor-one-cash.png,publish,$400,655,N/A,Georgia,"Experian, Equifax, TransUnion",N/A,NaN,User_m4k5hx0n,"Jun 07, 2023",0,5
Ink Business Unlimited,1215,https://helpmebuildcredit.com/creditcard/chase-ink-business-unlimited/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/8100b780-26ef-4eda-862f-cfbf7bed342c.png,publish,"$69,000",820,N/A,N/A,N/A,N/A,NaN,User_5g2qojsm,"Jun 07, 2023",0,4
Discover It Secured,1192,https://helpmebuildcredit.com/creditcard/discover-it-secured/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/discover-secured.png,publish,"$2,000",638,N/A,Georgia,Equifax,N/A,NaN,User_m4k5hx0n,"Jun 07, 2023",0,5
Cash Visa Signature,1207,https://helpmebuildcredit.com/creditcard/u-s-bank-cash-visa-signature-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/06/us-bank-cash-1.png,publish,"$14,000",790,N/A,Maryland,Equifax,N/A,NaN,User_m4k5hx0n,"Jun 07, 2023",0,4
